id_specific,extra_key,value_ts,strategy,internal_code,ric,ticker,target_notional,currency,target_contracts,ref_price,advisor_name
DF,dfilabs_BTC_USDT,2025-08-25 08:00,dfilabs,Binance Linear_BTC_USDT_FUTPERP,BTC_USDT,BTC_USDT,-21971.113122454935,USD,-1,111469.7,DFI Labs
DF,dfilabs_ETH_USDT,2025-08-25 08:00,dfilabs,Binance Linear_ETH_USDT_FUTPERP,ETH_USDT,ETH_USDT,85423.50749898059,USD,1,4589.6,DFI Labs
DF,dfilabs_XRP_USDT,2025-08-25 08:00,dfilabs,Binance Linear_XRP_USDT_FUTPERP,XRP_USDT,XRP_USDT,-11582.437592443104,USD,-1,2.9374,DFI Labs
DF,dfilabs_BNB_USDT,2025-08-25 08:00,dfilabs,Binance Linear_BNB_USDT_FUTPERP,BNB_USDT,BNB_USDT,147410.275227307,USD,1,858.93,DFI Labs
DF,dfilabs_SOL_USDT,2025-08-25 08:00,dfilabs,Binance Linear_SOL_USDT_FUTPERP,SOL_USDT,SOL_USDT,21268.73487094259,USD,1,199.86,DFI Labs
DF,dfilabs_TRX_USDT,2025-08-25 08:00,dfilabs,Binance Linear_TRX_USDT_FUTPERP,TRX_USDT,TRX_USDT,153797.79185718452,USD,1,0.35348,DFI Labs
DF,dfilabs_DOGE_USDT,2025-08-25 08:00,dfilabs,Binance Linear_DOGE_USDT_FUTPERP,DOGE_USDT,DOGE_USDT,8960.39207153358,USD,1,0.22063,DFI Labs
DF,dfilabs_ADA_USDT,2025-08-25 08:00,dfilabs,Binance Linear_ADA_USDT_FUTPERP,ADA_USDT,ADA_USDT,-64045.42111262254,USD,-1,0.8717,DFI Labs
DF,dfilabs_AVAX_USDT,2025-08-25 08:00,dfilabs,Binance Linear_AVAX_USDT_FUTPERP,AVAX_USDT,AVAX_USDT,-11386.497014837463,USD,-1,24.278,DFI Labs
DF,dfilabs_LINK_USDT,2025-08-25 08:00,dfilabs,Binance Linear_LINK_USDT_FUTPERP,LINK_USDT,LINK_USDT,69870.13566574363,USD,1,24.973,DFI Labs
DF,dfilabs_XLM_USDT,2025-08-25 08:00,dfilabs,Binance Linear_XLM_USDT_FUTPERP,XLM_USDT,XLM_USDT,-53777.41204744928,USD,-1,0.39258,DFI Labs
DF,dfilabs_HBAR_USDT,2025-08-25 08:00,dfilabs,Binance Linear_HBAR_USDT_FUTPERP,HBAR_USDT,HBAR_USDT,-38611.89426474362,USD,-1,0.23815,DFI Labs
DF,dfilabs_BCH_USDT,2025-08-25 08:00,dfilabs,Binance Linear_BCH_USDT_FUTPERP,BCH_USDT,BCH_USDT,36837.73079068502,USD,1,566.42,DFI Labs
DF,dfilabs_LTC_USDT,2025-08-25 08:00,dfilabs,Binance Linear_LTC_USDT_FUTPERP,LTC_USDT,LTC_USDT,-73584.22802035247,USD,-1,112.48,DFI Labs
DF,dfilabs_DOT_USDT,2025-08-25 08:00,dfilabs,Binance Linear_DOT_USDT_FUTPERP,DOT_USDT,DOT_USDT,20334.614597715237,USD,1,3.911,DFI Labs
DF,dfilabs_SUI_USDT,2025-08-25 08:00,dfilabs,Binance Linear_SUI_USDT_FUTPERP,SUI_USDT,SUI_USDT,-17849.421556913727,USD,-1,3.4978,DFI Labs
DF,dfilabs_UNI_USDT,2025-08-25 08:00,dfilabs,Binance Linear_UNI_USDT_FUTPERP,UNI_USDT,UNI_USDT,-9097.46345158444,USD,-1,10.337,DFI Labs
DF,dfilabs_NEAR_USDT,2025-08-25 08:00,dfilabs,Binance Linear_NEAR_USDT_FUTPERP,NEAR_USDT,NEAR_USDT,-15725.765178972,USD,-1,2.521,DFI Labs
DF,dfilabs_ETC_USDT,2025-08-25 08:00,dfilabs,Binance Linear_ETC_USDT_FUTPERP,ETC_USDT,ETC_USDT,9945.34730323394,USD,1,22.071,DFI Labs
DF,dfilabs_AAVE_USDT,2025-08-25 08:00,dfilabs,Binance Linear_AAVE_USDT_FUTPERP,AAVE_USDT,AAVE_USDT,19963.122246767238,USD,1,329.83,DFI Labs
DF,dfilabs_VET_USDT,2025-08-25 08:00,dfilabs,Binance Linear_VET_USDT_FUTPERP,VET_USDT,VET_USDT,-69639.97959757138,USD,-1,0.025475,DFI Labs
DF,dfilabs_ATOM_USDT,2025-08-25 08:00,dfilabs,Binance Linear_ATOM_USDT_FUTPERP,ATOM_USDT,ATOM_USDT,11173.388384819624,USD,1,4.549,DFI Labs
DF,dfilabs_ALGO_USDT,2025-08-25 08:00,dfilabs,Binance Linear_ALGO_USDT_FUTPERP,ALGO_USDT,ALGO_USDT,-17357.06992096987,USD,-1,0.2546,DFI Labs
DF,dfilabs_FIL_USDT,2025-08-25 08:00,dfilabs,Binance Linear_FIL_USDT_FUTPERP,FIL_USDT,FIL_USDT,10386.256604172035,USD,1,2.301,DFI Labs
